player_name,goals_scored,assists,passes_completed,tackles_won
Kevan Van Haeften,7,1,1815,52
Alvera Myrkus,20,16,1493,3
Leesa McTaggart,16,0,1668,96
Debera Marfell,28,19,1162,25
Hollie McGuckin,8,18,1674,26
Lucas Weight,8,12,496,79
Tedd Cazin,28,13,638,26
Thatch Walasik,6,2,1395,1
Emmit Bisseker,18,1,1804,72
Anjela Wrintmore,6,7,1396,34
Carita Pumphrey,21,8,1431,12
Cort Cordes,9,1,175,87
Cami Kellet,19,18,944,58
Britte Crips,7,15,1107,58
Carlota Abrahmovici,15,18,846,64
Holmes Arrol,28,1,480,41
Tallie Ahrenius,3,7,1741,12
Christie O'Hollegan,14,0,395,3
Kirk Such,5,20,65,57
Anselma Georgiev,29,13,1300,79
Redd Dollar,14,12,1907,21
Kati Jankovsky,22,7,1090,41
Trueman Grzelczyk,23,20,483,45
Jeralee Hernik,5,18,1609,47
Wyatt Walton,27,19,1367,85
Claudetta Romaines,19,8,1285,13
Etti MacGuffog,28,6,950,64
Faun Bellino,13,0,698,63
Demetra Cloke,28,14,189,87
Wanda Briscow,21,8,1363,77
Remington Pele,7,7,106,49
Kit Harget,20,14,1809,10
Patricia Sprowson,12,10,462,92
Mandie Constance,9,12,1428,19
Geneva Giacovelli,13,7,1211,81
Simonette O'Kielt,10,13,1077,79
Reinold Adamik,8,0,218,87
Jeth Branney,17,13,1788,86
Alfred Forgie,19,19,78,28
Othilie Marquese,11,15,10,37
Christiana Louche,26,11,193,25
Xymenes Jeroch,29,4,271,60
Blayne Blaymires,25,17,1934,72
Judy Redier,6,6,1870,64
Orlan Palay,3,17,393,44
Regan MacRirie,16,6,528,96
Adrian Smitheman,5,16,1775,64
Penn Southgate,13,18,356,11
Hilary Wittke,0,13,944,61
Walden Preedy,24,3,1462,15
Rubina Klimmek,22,0,507,87
Davina Battany,29,14,1362,86
Rollo Greensite,26,20,1801,17
Pavel Hobbing,5,6,1140,60
Silvan Bryceson,18,1,122,39
Evaleen Whalebelly,8,5,346,20
Randell Feenan,9,11,1777,77
Gawain Alvis,5,3,420,72
Ernaline Whittenbury,30,9,1755,62
Zackariah Cumine,27,7,43,78
Amandy McIlwain,27,16,705,14
Xavier Kirsche,25,18,406,34
Maynard Appleford,23,13,914,4
Lyndy Keher,27,13,1857,1
Pen Blench,12,15,1827,39
Keeley Kynder,4,8,1914,16
Auberon Hellikes,26,16,618,62
Hildy Kingdon,15,13,1306,45
Shelia Chetter,27,17,1111,81
Sapphira Gunstone,29,20,919,69
Glyn Hartzogs,3,5,1587,54
Winifred Wapple,20,20,53,13
Carmencita Daley,14,4,520,58
Tye Finders,8,20,1566,10
Giavani Leglise,28,20,181,85
Emalia Lesser,28,8,1150,46
Debee Sheryne,27,3,647,52
Burtie Life,16,19,1289,19
Reagan Wimpeney,7,13,760,12
Randell Daughtrey,5,1,1171,93
Tremaine Enriques,30,5,292,29
Nonie Burnsell,4,13,1482,12
Toinette Whenman,27,0,1727,7
Vilhelmina Setterthwait,11,0,681,94
Euphemia Middiff,24,20,1773,36
Donielle Longdon,27,15,776,46
Jenna Bilson,0,9,138,14
Tanitansy MacKissack,20,18,1275,7
Abbey Matten,21,18,1515,35
Reese Steart,14,0,585,75
Sheba Phillpotts,7,11,980,28
Indira Getten,12,8,1329,83
Penny McGall,0,4,1946,5
Ritchie Cleeves,28,9,438,17
Janifer Duffin,3,13,319,25
Vittorio Sincock,21,8,1211,23
Page Wanjek,16,6,1839,81
Andria Ellissen,28,6,1178,97
Starla Cummins,10,1,1018,100
Faith Wayte,10,1,644,53
Joeann Stonhouse,5,12,1062,55
Rhetta Craigs,14,16,1792,11
Derron Kitcher,9,9,913,40
Becka Geroldi,6,15,1058,3
Tabby Blackie,20,5,1371,27
Zorana Bassilashvili,1,3,430,68
Fernanda Postin,17,1,1639,77
Frans Dadge,23,4,1938,59
Dori Keeling,6,1,1852,71
Estrellita Bottrill,25,4,1995,36
Sybille Freestone,20,16,1264,71
Kanya Penswick,15,8,147,2
Ingram Rowena,11,2,1741,32
Rhiamon Yirrell,3,8,751,67
Bianca Crotty,28,0,1647,21
Stepha Gentsch,10,12,1710,59
Benni Galletly,6,9,783,72
Kylynn Snufflebottom,10,14,1189,51
Elana Crump,7,10,511,91
Ernesta Pantone,13,13,1605,75
Iorgo Cecere,19,17,260,8
Briney Iacopo,18,14,1512,31
Demetre Robiot,17,1,639,38
Kali Aikin,26,14,68,26
Nevile Clausen,3,19,377,71
Winifield Blindt,4,11,262,27
Torey Arthars,11,18,802,94
Page Assante,11,3,783,24
Winna Derisley,0,17,491,76
Clerc Bryns,1,4,1898,30
Suzanne Fache,28,14,1534,75
Pauli Hawksley,26,15,624,30
Jessica Benn,22,6,480,7
Elmore Sleight,2,18,1273,14
Harry Ditts,25,16,1139,2
Melvin Goward,7,6,250,39
Valina Arthurs,18,11,95,64
Addison Whitehair,3,18,1969,11
Christiane Tasker,22,12,930,19
Jenny Lympenie,6,12,216,29
Jojo Antonich,16,18,1553,66
Ora Talby,6,15,1223,2
Carmella Yewen,17,19,991,68
Jessy Degg,25,20,547,92
Mickey Ambroz,11,16,7,58
Kassia Essberger,29,0,1675,9
Mateo Bringloe,20,9,1543,76
Cristal Onthank,2,16,826,75
Aidan Ipwell,19,7,690,8
Sarene Grigolon,10,14,1053,45
Allie Babbage,8,15,1245,78
Sophronia Hearnes,13,18,1096,14
Priscella MacCosty,19,13,1929,93
Harold Volkers,30,10,16,6
Peterus Lovstrom,26,6,713,2
Carina Arnet,0,13,440,28
Trixie Dicte,10,9,1145,18
Melba Blampied,23,9,1385,7
